INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: Enemy
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: Player
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: TilemapComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: TextRenderComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: SpriteComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: SpriteAnimComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: ModelRenderComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: EnginePhysicsComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: CircleCollisionComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: Box2DPhysicsComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: Box2DCollisionComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: Actor
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(70) Class Registered: SpriteComponent
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Game\Platform Game\Main.cpp(32) Initializing Engine.
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Event\EventManager.cpp(17) Event Subscribed: OnAddPoints
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Event\EventManager.cpp(17) Event Subscribed: OnPlayerDead
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: Crate
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Renderer\Texture.cpp(32) Image failed to load
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Resource\ResourceManager.h(38) Could not create resource: Textures/FreeKnight_v1/Colour21/Outline/120x80_PNGSheets/_Idle.png
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_floor1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_ground1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar2
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar3
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar21
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar22
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar23
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: spike
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: Crate
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Renderer\Texture.cpp(32) Image failed to load
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Resource\ResourceManager.h(38) Could not create resource: Textures/FreeKnight_v1/Colour21/Outline/120x80_PNGSheets/_Idle.png
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_floor1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_ground1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar2
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar3
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar21
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar22
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar23
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: spike
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: Crate
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Renderer\Texture.cpp(32) Image failed to load
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Resource\ResourceManager.h(38) Could not create resource: Textures/FreeKnight_v1/Colour21/Outline/120x80_PNGSheets/_Idle.png
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_floor1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_ground1
INFO: C:\Users\bethompson\source\repos\BeThompson GAT150 Engine\Source\Engine\Framework\Factory.h(78) Prototype Class Registered: tile_pillar1
